specification,term,prevalence_ratio,confidence_interval_low,confidence_interval_high,p_value
system_sourced_boundary_census_sensitivity,"Rural proportion, per 10 percentage points",0.9195631026472476,0.8832782059904185,0.9573385757911538,4.4535529158906545e-05
primary_census_preferred_weight:state_clustered,"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.0990633185728678,1.2023982856933515,1.197335455189641e-09
primary_census_preferred_weight:state_clustered,"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.922905320448381,1.1272609193658183,0.6982594897446808
primary_census_preferred_weight:state_clustered,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.8878557295491228,1.5688527128990428,0.253884083201315
primary_census_preferred_weight:state_clustered,"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6203509285714425,0.8939242609118476,0.0015605355532464
primary_census_preferred_weight:state_clustered,"Rural proportion, per 10 percentage points",0.9412053051520608,0.9129191708144452,0.9703678647213336,9.93685282409094e-05
primary_census_preferred_weight:spatial_hac_100km,"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.0900583795362822,1.2123312612693662,2.754508351108098e-07
primary_census_preferred_weight:spatial_hac_100km,"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.9509227946266032,1.0940479141892496,0.5802277928264712
primary_census_preferred_weight:spatial_hac_100km,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.9268144775015624,1.5029058174846563,0.1790497462690564
primary_census_preferred_weight:spatial_hac_100km,"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6528662977648121,0.8494032349774846,1.1267033181175885e-05
primary_census_preferred_weight:spatial_hac_100km,"Rural proportion, per 10 percentage points",0.9412053051520608,0.9145748440713474,0.9686111882356518,3.505917641285614e-05
primary_census_preferred_weight:spatial_hac_250km,"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.0863261404155051,1.216496410198692,1.3790860097188477e-06
primary_census_preferred_weight:spatial_hac_250km,"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.9349529040190118,1.1127352998682083,0.6560044496939977
primary_census_preferred_weight:spatial_hac_250km,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.9099073553039696,1.5308315311955845,0.2118183939911071
primary_census_preferred_weight:spatial_hac_250km,"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6353167188330352,0.8728666016342365,0.000274829266383
primary_census_preferred_weight:spatial_hac_250km,"Rural proportion, per 10 percentage points",0.9412053051520608,0.9126528906240672,0.9706509841223782,0.0001156014515153
primary_census_preferred_weight:spatial_hac_500km,"Hispanic proportion, per 10 percentage points",1.1495702893344375,1.093003196351619,1.2090649455844154,6.152681806579092e-08
primary_census_preferred_weight:spatial_hac_500km,"Non-Hispanic Black proportion, per 10 percentage points",1.0199779899665715,0.9241152142900496,1.125785057889669,0.6944547591133545
primary_census_preferred_weight:spatial_hac_500km,"Non-Hispanic AIAN proportion, per 10 percentage points",1.1802181450757738,0.8977964516021016,1.5514818169312976,0.235064956605837
primary_census_preferred_weight:spatial_hac_500km,"Below-poverty proportion, per 10 percentage points",0.7446789545362519,0.6152779403418837,0.9012946978418684,0.0024690372333589
primary_census_preferred_weight:spatial_hac_500km,"Rural proportion, per 10 percentage points",0.9412053051520608,0.9131572657414344,0.9701148528091786,8.64859750153647e-05
